Zip Code*Community*Income
90001*"Los Angeles (South Los Angeles), Florence-Graham"*33887
90002*"Los Angeles (Southeast Los Angeles, Watts)"*30413
90003*"Los Angeles (South Los Angeles, Southeast Los Angeles)"*30805
90004*"Los Angeles (Hancock Park, Rampart Village, Virgil Village, Wilshire Center, Windsor Square)"*40612
90005*"Los Angeles (Hancock Park, Koreatown, Wilshire Center, Wilshire Park, Windsor Square)"*31142
90006*"Los Angeles (Byzantine-Latino Quarter, Harvard Heights, Koreatown, Pico Heights)"*31521
90007*"Los Angeles (Southeast Los Angeles, Univerity Park)"*22304
90008*"Los Angeles (Baldwin Hills, Crenshaw, Leimert Park)"*36564
90010*"Los Angeles (Hancock Park, Wilshire Center, Windsor Square)"*45786
90011*Los Angeles (Southeast Los Angeles)*30251
90012*"Los Angeles (Downtown Civic Center, Chinatown, Arts District, Bunker Hill, Historic Core, Little Tokyo)"*31576
90013*"Los Angeles (Downtown Central, Downtown Fashion District)"*19887
90014*"Los Angeles (Downtown Historic Core, Arts District)"*23642
90015*"Los Angeles (Downtown Fashion District, South Park-South)"*29684
90016*Los Angeles (West Adams)*38330
90017*"Los Angeles (Downtown Bunker Hill, City West, South Park-North)"*22754
90018*"Los Angeles (Jefferson Park, Leimert Park)"*33864
90019*"Los Angeles (Arlington Heights, Country Club Park, Mid-City)"*46571
90020*"Los Angeles (Hancock Park, Western Wilton, Wilshire Center, Windsor Square)"*38849
90021*"Los Angeles (Downtown Fashion District, Downtown Southeast)"*12813
90022*East Los Angeles*37916
90023*"Commerce, East Los Angeles"*35736
90024*Los Angeles (Westwood)*57202
90025*"Los Angeles (Sawtelle, West Los Angeles)"*71183
90026*"Los Angeles (Echo Park, Silver Lake)"*47993
90027*"Los Angeles (Griffith Park, Hollywood, Los Feliz)"*51595
90028*Los Angeles (Hollywood)*33582
90029*Los Angeles (East Hollywood)*33912
90031*"Los Angeles (Lincoln Heights, Montecito Heights)"*34994
90032*"Los Angeles (El Sereno, Monterey Hills)"*45457
90033*Los Angeles (Boyle Heights)*27622
90034*Los Angeles (Palms)*58004
90035*Los Angeles (West Fairfax)*73794
90036*"Los Angeles (Fairfax, Melrose, Miracle Mile, Park La Brea, Wilshire-La Brea)"*69894
90037*Los Angeles (South Los Angeles)*27179
90038*Los Angeles (Hollywood)*33800
90039*"Los Angeles (Atwater Village, Elysian Valley, Silver Lake)"*70560
90040*"Commerce, City of"*44964
90041*Los Angeles (Eagle Rock)*63358
90042*Los Angeles (Highland Park)*49630
90043*"Los Angeles (Hyde Park, View Park, Windsor Hills)"*38180
90044*"Athens, Los Angeles (South Los Angeles)"*29206
90045*"Los Angeles (Los Angeles International Airport, Westchester)"*75684
90046*"Los Angeles (Hollywood), West Hollywood"*57941
90047*Los Angeles (South Los Angeles)*39269
90048*"Los Angeles (Mid-City West), West Hollywood"*78940
90049*"Los Angeles (Bel Air Estates, Brentwood)"*115629
90056*Ladera Heights*84099
90057*Los Angeles (Westlake)*27890
90058*"Los Angeles (Southeast Los Angeles)* Vernon"*17018
90059*"Los Angeles (Southeast Los Angeles, Watts)* Willowbrook"*32506
90061*Los Angeles (South Los Angeles)*33731
90062*Los Angeles (South Los Angeles)*34588
90063*"City Terrace* Los Angeles (Boyle Heights)"*40006
90064*"Los Angeles (Cheviot Hills, Rancho Park)"*87283
90065*"Los Angeles (Cypress Park, Glassell Park, Mt Washington)"*54078
90066*"Culver City, Los Angeles (Mar Vista)"*68132
90067*Los Angeles (Century City)*97891
90068*Los Angeles (Hollywood)*73693
90069*"Los Angeles (Hollywood, Melrose), West Hollywood"*78979
90077*"Los Angeles (Bel Air Estates, Beverly Glen)"*164281
90094*Los Angeles (Playa Vista)*104367
90201*"Bell, Bell Gardens, Cudahy"*37254
90210*Beverly Hills*145227
90211*Beverly Hills*69638
90212*Beverly Hills*92476
90220*"Compton, Rancho Dominguez"*47882
90221*"Compton, East Rancho Dominguez"*41960
90222*"Compton, Rosewood, Willowbrook"*37881
90230*Culver City*74823
90232*Culver City*77004
90240*Downey*76907
90241*Downey*57372
90242*Downey*58669
90245*El Segundo*85727
90247*Gardena*42926
90248*Gardena*53306
90249*Gardena*51181
90250*Hawthorne (Holly Park)*46172
90254*Hermosa Beach*111187
90255*"Huntington Park, Walnut Park"*35917
90260*Lawndale*51648
90262*Lynwood*43231
90265*Malibu*123681
90266*Manhattan Beach*143527
90270*"Bell, Maywood"*35532
90272*"Los Angeles (Castellemare, Pacific Highlands, Pacific Palisades, Topanga State Park)"*166021
90274*"Palos Verdes Estates, Rolling Hills, Rolling Hills Estates"*157465
90275*"Palos Verdes Estates, Rancho Palos Verdes, Rolling Hills Estates"*118790
90277*"Redondo Beach, Torrance"*100080
90278*"Redondo Beach, Torrance"*107010
90280*South Gate*43552
